Seria1 - X;Seria1 - Y;
302.41;869
302.46;803
302.5;755
302.55;1010
302.59;975
302.63;794
302.68;887
302.72;1115
302.77;1013
302.81;789
302.85;697
302.9;845
302.94;909
302.98;790
303.03;978
303.07;1160
303.12;868
303.16;970
303.2;889
303.25;903
303.29;800
303.34;738
303.38;1033
303.42;684
303.47;739
303.51;864
303.56;927
303.6;1098
303.64;890
303.69;727
303.73;908
303.78;961
303.82;649
303.86;811
303.91;1019
303.95;904
303.99;876
304.04;826
304.08;857
304.13;883
304.17;846
304.21;832
304.26;685
304.3;856
304.35;785
304.39;923
304.43;1062
304.48;966
304.52;716
304.57;842
304.61;869
304.65;815
304.7;1049
304.74;852
304.78;973
304.83;1156
304.87;693
304.92;822
304.96;1156
30;946
305.05;742
305.09;868
305.14;867
305.18;1030
305.22;861
305.27;1017
305.31;950
305.35;969
305.4;969
305.44;736
305.49;1104
305.53;923
305.57;1032
305.62;1056
305.66;880
305.71;706
305.75;765
305.79;930
305.84;1270
305.88;1020
305.93;835
305.97;840
306.01;819
306.06;891
306.1;850
306.14;883
306.19;770
306.23;1001
306.28;667
306.32;747
306.36;691
306.41;1013
306.45;1010
306.5;969
306.54;747
306.58;879
306.63;792
306.67;745
306.71;962
306.76;933
306.8;743
306.85;626
306.89;746
306.93;873
306.98;904
307.02;927
307.07;817
307.11;1019
307.15;866
307.2;1012
307.24;859
307.28;902
307.33;1017
307.37;909
307.42;1006
307.46;737
307.5;941
307.55;746
307.59;1034
307.63;785
307.68;802
307.72;910
307.77;913
307.81;779
307.85;784
307.9;921
307.94;933
307.99;1074
308.03;887
308.07;816
308.12;806
308.16;978
308.2;951
308.25;987
308.29;1062
308.34;1077
308.38;763
308.42;895
308.47;867
308.51;1119
308.56;732
308.6;855
308.64;903
308.69;931
308.73;807
308.77;922
308.82;805
308.86;755
308.91;829
308.95;1073
308.99;837
309.04;722
309.08;715
309.12;746
309.17;816
309.21;730
309.26;947
309.3;925
309.34;687
309.39;870
309.43;873
309.47;811
309.52;784
309.56;747
309.61;967
309.65;916
309.69;823
309.74;754
309.78;845
309.83;739
309.87;952
309.91;891
309.96;937
31;720
310.04;697
310.09;864
310.13;649
310.18;1002
310.22;954
310.26;826
310.31;730
310.35;838
310.39;935
310.44;1079
310.48;801
310.53;957
310.57;1031
310.61;871
310.66;1067
310.7;1038
310.74;858
310.79;867
310.83;753
310.88;801
310.92;1069
310.96;891
311.01;857
311.05;922
311.09;962
311.14;840
311.18;905
311.23;916
311.27;767
311.31;731
311.36;874
311.4;846
311.44;904
